id,scrape_id,host_id,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,score_overall,score_acc,score_clean,score_checkin,score_comm,score_loc,score_value,ln_price
157714,20230608145305,757377,Hammersmith and Fulham,51.48974,-0.22208,Private room in townhouse,Private room,3,1.5,1.0,1.0,69.0,175,4.71,4.66,4.78,4.84,4.83,4.76,4.66,4.23410650459726
13913,20230608145305,54730,Islington,51.56861,-0.1127,Private room in rental unit,Private room,1,1.0,1.0,1.0,79.0,41,4.8,4.72,4.72,4.74,4.82,4.69,4.69,4.3694478524670215
15400,20230608145305,60302,Kensington and Chelsea,51.4878,-0.16813,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,100.0,94,4.8,4.85,4.88,4.88,4.83,4.93,4.74,4.605170185988092
306333,20230608145305,1573870,Hackney,51.52748,-0.08172,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,156.0,20,4.32,4.68,3.95,4.26,4.84,4.89,4.53,5.049856007249537
159736,20230608145305,766056,Lambeth,51.46788,-0.09993,Private room in rental unit,Private room,2,1.0,1.0,1.0,65.0,96,4.72,4.79,4.66,4.75,4.89,4.34,4.66,4.174387269895637
306677,20230608145305,1577254,Southwark,51.49739,-0.10146,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,132.0,218,4.56,4.72,4.64,4.72,4.78,4.41,4.55,4.882801922586371
17402,20230608145305,67564,Westminster,51.52195,-0.14094,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,550.0,54,4.76,4.83,4.71,4.71,4.71,4.88,4.6,6.309918278226516
165336,20230608145305,761400,Kensington and Chelsea,51.51735,-0.21076,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,60.0,217,4.75,4.89,4.79,4.95,4.96,4.87,4.72,4.0943445622221
24328,20230608145305,41759,Wandsworth,51.47072,-0.16266,Entire townhouse,Entire home/apt,3,1.5,1.0,1.0,250.0,96,4.9,4.89,4.91,4.9,4.93,4.59,4.65,5.521460917862246
25123,20230608145305,103583,Barnet,51.57438,-0.21081,Private room in home,Private room,2,1.5,1.0,1.0,29.0,129,4.78,4.7,4.94,4.91,4.89,4.45,4.74,3.367295829986474
306737,20230608145305,1577723,Camden,51.54655,-0.16495,Entire rental unit,Entire home/apt,7,2.5,5.0,4.0,457.0,26,4.92,4.96,4.62,4.92,5.0,4.96,4.65,6.124683390894205
307923,20230608145305,1584404,Hillingdon,51.52344,-0.46178,Private room in home,Private room,2,1.0,1.0,1.0,45.0,118,4.83,4.91,4.86,4.93,4.94,4.74,4.78,3.8066624897703196
170702,20230608145305,814004,Tower Hamlets,51.49686,-0.02627,Private room in rental unit,Private room,2,1.0,1.0,1.0,60.0,136,4.95,4.97,4.98,4.94,4.98,4.79,4.93,4.0943445622221
172629,20230608145305,471088,Kensington and Chelsea,51.49603,-0.19671,Private room in condo,Private room,2,1.0,1.0,1.0,100.0,180,4.9,4.94,4.98,4.97,4.98,4.93,4.83,4.605170185988092
308005,20230608145305,67564,Camden,51.52197,-0.14035,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,214.0,64,4.83,4.86,4.91,4.84,4.92,4.92,4.67,5.365976015021851
310665,20230608145305,1460505,Hackney,51.56099,-0.0774,Entire townhouse,Entire home/apt,8,2.5,5.0,4.0,190.0,22,4.89,5.0,4.89,5.0,5.0,4.83,5.0,5.247024072160486
33332,20230608145305,144444,Richmond upon Thames,51.4641,-0.32498,Private room in home,Private room,2,1.0,1.0,1.0,140.0,20,4.4,4.47,4.58,4.58,4.53,4.68,4.26,4.941642422609304
36299,20230608145305,155938,Richmond upon Thames,51.48085,-0.28086,Entire townhouse,Entire home/apt,5,1.5,3.0,3.0,245.0,102,4.81,4.78,4.79,4.95,4.96,4.9,4.62,5.501258210544727
310724,20230608145305,1598430,Lambeth,51.49324,-0.11058,Entire townhouse,Entire home/apt,6,2.5,3.0,3.0,300.0,188,4.88,4.92,4.74,4.94,4.93,4.83,4.81,5.703782474656201
174132,20230608145305,831866,Westminster,51.52636,-0.18801,Private room in rental unit,Private room,2,1.5,1.0,1.0,100.0,252,4.66,4.8,4.76,4.74,4.76,4.88,4.66,4.605170185988092
310790,20230608145305,1598689,Camden,51.52577,-0.13726,Entire condo,Entire home/apt,3,1.0,2.0,2.0,100.0,46,4.82,4.93,4.89,4.96,4.98,4.93,4.82,4.605170185988092
36660,20230608145305,157884,Haringey,51.58478,-0.16057,Private room in home,Private room,2,0.0,1.0,1.0,82.0,619,4.85,4.88,4.84,4.96,4.96,4.77,4.86,4.406719247264253
181664,20230608145305,870749,Hammersmith and Fulham,51.47368,-0.18217,Entire condo,Entire home/apt,4,1.0,2.0,2.0,250.0,35,4.88,4.82,4.68,4.94,4.91,4.71,4.82,5.521460917862246
310949,20230608145305,1599044,Greenwich,51.49927,0.10729,Private room in townhouse,Private room,2,1.0,1.0,1.0,36.0,302,4.95,4.94,4.97,4.94,4.97,4.61,4.94,3.58351893845611
311430,20230608145305,766056,Lambeth,51.46934,-0.10136,Private room in rental unit,Private room,2,1.0,1.0,1.0,55.0,29,4.89,4.82,4.71,5.0,5.0,4.89,4.71,4.007333185232471
182802,20230608145305,876774,Richmond upon Thames,51.43855,-0.32191,Private room in home,Private room,2,1.0,1.0,1.0,65.0,247,4.83,4.91,4.87,4.92,4.95,4.79,4.81,4.174387269895637
311768,20230608145305,871053,Merton,51.41779,-0.15163,Entire rental unit,Entire home/apt,13,2.0,4.0,10.0,500.0,103,4.79,4.72,4.72,4.89,4.81,4.3,4.7,6.214608098422191
312761,20230608145305,1608226,Hackney,51.52704,-0.08129,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,240.0,96,4.95,4.97,4.94,4.96,5.0,4.9,4.95,5.480638923341991
38995,20230608145305,167281,Southwark,51.4786,-0.06114,Private room in rental unit,Private room,2,1.0,1.0,1.0,50.0,30,4.97,4.93,5.0,4.97,4.97,4.8,4.93,3.912023005428146
183128,20230608145305,878083,Southwark,51.50038,-0.10001,Private room in condo,Private room,1,1.0,1.0,1.0,101.0,183,4.98,4.99,4.97,4.99,4.99,4.84,4.96,4.61512051684126
41311,20230608145305,103583,Barnet,51.574,-0.21058,Private room in home,Private room,2,1.5,1.0,1.0,25.0,84,4.9,4.82,4.97,4.92,4.96,4.51,4.81,3.2188758248682006
186682,20230608145305,897316,Brent,51.54209,-0.202,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,69.0,42,4.83,4.93,4.74,4.9,5.0,4.73,4.83,4.23410650459726
41445,20230608145305,180838,Barnet,51.61492,-0.25632,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,550.0,21,4.56,4.47,4.26,4.84,4.68,4.53,4.26,6.309918278226516
314066,20230608145305,1613803,Haringey,51.60134,-0.08688,Private room in townhouse,Private room,2,1.0,1.0,1.0,29.0,300,4.66,4.76,4.49,4.89,4.88,4.5,4.74,3.367295829986474
198279,20230608145305,967645,Tower Hamlets,51.51462,-0.05969,Private room in rental unit,Private room,2,1.0,1.0,1.0,45.0,250,4.76,4.82,4.54,4.81,4.9,4.54,4.7,3.8066624897703196
41509,20230608145305,181028,Hounslow,51.49351,-0.25568,Private room in rental unit,Private room,4,1.0,1.0,3.0,150.0,71,4.5,4.45,4.29,4.74,4.8,4.84,4.54,5.0106352940962555
